,train_macro_f1-score,train_macro_f1-score,train_macro_recall,train_macro_recall,train_micro_accuracy,train_micro_accuracy,train_macro_precision,train_macro_precision,train_weighted_precision,train_weighted_precision,train_weighted_recall,train_weighted_recall,train_weighted_f1-score,train_weighted_f1-score,train_balanced_accuracy,train_balanced_accuracy,train_macro_ovr_roc_auc_score,train_macro_ovr_roc_auc_score,test_macro_f1-score,test_macro_f1-score,test_macro_recall,test_macro_recall,test_micro_accuracy,test_micro_accuracy,test_macro_precision,test_macro_precision,test_weighted_precision,test_weighted_precision,test_weighted_recall,test_weighted_recall,test_weighted_f1-score,test_weighted_f1-score,test_balanced_accuracy,test_balanced_accuracy,test_macro_ovr_roc_auc_score,test_macro_ovr_roc_auc_score
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adbt3_15_10_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.659632604,0.0,0.615384615,0.0,0.615384615,0.0,0.865005083,0.0,0.865005083,0.0,0.615384615,0.0,0.659632604,0.0,0.615384615,0.0,-1.0,0.0,0.167555106,0.0,0.211538462,0.0,0.205714286,0.0,0.660826211,0.0,0.665269841,0.0,0.205714286,0.0,0.166887218,0.0,0.211538462,0.0,-1.0,0.0
adbt3_15_15_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.883519407,0.0,0.870726496,0.0,0.870726496,0.0,0.949031089,0.0,0.949031089,0.0,0.870726496,0.0,0.883519407,0.0,0.870726496,0.0,-1.0,0.0,0.311965812,0.0,0.346153846,0.0,0.348571429,0.0,0.700747863,0.0,0.703714286,0.0,0.348571429,0.0,0.318666667,0.0,0.346153846,0.0,-1.0,0.0
adbt3_15_5_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.121383841,0.0,0.123931624,0.0,0.123931624,0.0,0.936226163,0.0,0.936226163,0.0,0.123931624,0.0,0.121383841,0.0,0.123931624,0.0,-1.0,0.0,0.037818271,0.0,0.054487179,0.0,0.057142857,0.0,0.926077955,0.0,0.910770443,0.0,0.057142857,0.0,0.040188478,0.0,0.054487179,0.0,-1.0,0.0
adbt3_30_10_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.677990598,0.0,0.641025641,0.0,0.641025641,0.0,0.860854392,0.0,0.860854392,0.0,0.641025641,0.0,0.677990598,0.0,0.641025641,0.0,-1.0,0.0,0.183862434,0.0,0.224358974,0.0,0.222857143,0.0,0.679009553,0.0,0.688145658,0.0,0.222857143,0.0,0.188852608,0.0,0.224358974,0.0,-1.0,0.0
adbt3_30_15_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.938972867,0.0,0.926282051,0.0,0.926282051,0.0,0.982229017,0.0,0.982229017,0.0,0.926282051,0.0,0.938972867,0.0,0.926282051,0.0,-1.0,0.0,0.343925519,0.0,0.387820513,0.0,0.388571429,0.0,0.727564103,0.0,0.73047619,0.0,0.388571429,0.0,0.351918367,0.0,0.387820513,0.0,-1.0,0.0
adbt3_30_5_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.12602055,0.0,0.123931624,0.0,0.123931624,0.0,0.941392085,0.0,0.941392085,0.0,0.123931624,0.0,0.12602055,0.0,0.123931624,0.0,-1.0,0.0,0.032534352,0.0,0.048076923,0.0,0.045714286,0.0,0.915311034,0.0,0.903077264,0.0,0.045714286,0.0,0.030906812,0.0,0.048076923,0.0,-1.0,0.0
adbt3_45_10_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.719318978,0.0,0.688034188,0.0,0.688034188,0.0,0.882727123,0.0,0.882727123,0.0,0.688034188,0.0,0.719318978,0.0,0.688034188,0.0,-1.0,0.0,0.223244811,0.0,0.278846154,0.0,0.285714286,0.0,0.684849019,0.0,0.696208268,0.0,0.285714286,0.0,0.23462585,0.0,0.278846154,0.0,-1.0,0.0
adbt3_45_15_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.945573519,0.0,0.93482906,0.0,0.93482906,0.0,0.981729423,0.0,0.981729423,0.0,0.93482906,0.0,0.945573519,0.0,0.93482906,0.0,-1.0,0.0,0.369444444,0.0,0.407051282,0.0,0.411428571,0.0,0.717948718,0.0,0.726666667,0.0,0.411428571,0.0,0.377904762,0.0,0.407051282,0.0,-1.0,0.0
