name,train_macro_f1-score,train_macro_recall,train_micro_accuracy,train_macro_precision,train_weighted_precision,train_weighted_recall,train_weighted_f1-score,train_balanced_accuracy,train_macro_ovr_roc_auc_score,test_macro_f1-score,test_macro_recall,test_micro_accuracy,test_macro_precision,test_weighted_precision,test_weighted_recall,test_weighted_f1-score,test_balanced_accuracy,test_macro_ovr_roc_auc_score
maximums,,,,,,,,,,,,0.954285714,,,,,,
,,,,,,,,,,,,,,,,,,
nb3_t70,0.783325115,0.806623932,0.881756757,0.958511396,0.931850601,0.881756757,0.844239432,0.806623932,-1,0.646225071,0.708333333,0.737142857,0.903754579,0.892979592,0.737142857,0.669460317,0.708333333,-1
svm3_t70,0.996947497,0.996794872,0.996621622,0.998397436,0.997466216,0.996621622,0.996299871,0.996794872,-1,0.920726496,0.935897436,0.937142857,0.959401709,0.959047619,0.937142857,0.923428571,0.935897436,-1
dt3_t70,0.997435897,0.997863248,0.996621622,0.997863248,0.997747748,0.996621622,0.996621622,0.997863248,-1,0.587515263,0.634615385,0.651428571,0.778311966,0.778571429,0.651428571,0.606394558,0.634615385,-1
lr3_t70,0.994317648,0.993589744,0.993243243,0.997481685,0.994570463,0.993243243,0.992488367,0.993589744,-1,0.925854701,0.939102564,0.942857143,0.963675214,0.960952381,0.942857143,0.928761905,0.939102564,-1
xgb3_t70,0.900198804,0.913461538,0.952702703,0.975900488,0.967092986,0.952702703,0.934519685,0.913461538,-1,0.718162393,0.772435897,0.794285714,0.896367521,0.88952381,0.794285714,0.736571429,0.772435897,-1
knn3_1_t70,0.996947497,0.996794872,0.996621622,0.998397436,0.997466216,0.996621622,0.996299871,0.996794872,-1,0.904059829,0.919871795,0.92,0.948717949,0.945714286,0.92,0.905142857,0.919871795,-1
knn3_3_t70,0.533564619,0.579059829,0.75,0.854639805,0.849967825,0.75,0.690231334,0.579059829,-1,0.493304843,0.573717949,0.617142857,0.81723138,0.808435374,0.617142857,0.528253968,0.573717949,-1
knn3_5_t70,0.396775692,0.457264957,0.665540541,0.834731241,0.814430868,0.665540541,0.579893085,0.457264957,-1,0.389631665,0.480769231,0.531428571,0.789117827,0.777360544,0.531428571,0.431419501,0.480769231,-1
knn3_7_t70,0.290744049,0.351495726,0.550675676,0.802547221,0.739004792,0.550675676,0.451625495,0.351495726,-1,0.285571836,0.381410256,0.434285714,0.763049451,0.74507483,0.434285714,0.324181406,0.381410256,-1
knn3_9_t70,0.251513927,0.314102564,0.503378378,0.801975855,0.719508785,0.503378378,0.398999993,0.314102564,-1,0.228052503,0.320512821,0.377142857,0.748252442,0.728646259,0.377142857,0.267791383,0.320512821,-1
rf3_15_t70,0.996947497,0.996794872,0.996621622,0.998397436,0.997466216,0.996621622,0.996299871,0.996794872,-1,0.797863248,0.836538462,0.851428571,0.922542735,0.922380952,0.851428571,0.812571429,0.836538462,-1
rf3_30_t70,0.996947497,0.996794872,0.996621622,0.998397436,0.997466216,0.996621622,0.996299871,0.996794872,-1,0.858547009,0.887820513,0.897142857,0.93482906,0.938095238,0.897142857,0.869714286,0.887820513,-1
rf3_45_t70,0.996947497,0.996794872,0.996621622,0.998397436,0.997466216,0.996621622,0.996299871,0.996794872,-1,0.874358974,0.897435897,0.908571429,0.939102564,0.94,0.908571429,0.884571429,0.897435897,-1
adbt3_15_5_t70,0.184244108,0.193376068,0.209459459,0.984117445,0.9615257,0.209459459,0.184939696,0.193376068,-1,0.100802171,0.112179487,0.131428571,0.95984941,0.954131519,0.131428571,0.113049204,0.112179487,-1
adbt3_15_10_t70,0.363203468,0.379807692,0.452702703,0.969148752,0.940796072,0.452702703,0.417283517,0.379807692,-1,0.212398471,0.233974359,0.262857143,0.899687688,0.889728906,0.262857143,0.232009465,0.233974359,-1
adbt3_15_15_t70,0.684493284,0.704594017,0.763513514,0.963644316,0.947513694,0.763513514,0.734451416,0.704594017,-1,0.413487438,0.461538462,0.491428571,0.873574561,0.868553885,0.491428571,0.441546898,0.461538462,-1
adbt3_30_5_t70,0.197624246,0.206196581,0.219594595,0.984804258,0.96285292,0.219594595,0.196200958,0.206196581,-1,0.113623965,0.125,0.142857143,0.959850069,0.954132694,0.142857143,0.124480059,0.125,-1
adbt3_30_10_t70,0.36355568,0.379807692,0.452702703,0.969947953,0.94350755,0.452702703,0.418620019,0.379807692,-1,0.224156073,0.246794872,0.274285714,0.902895715,0.889734075,0.274285714,0.241543017,0.246794872,-1
adbt3_30_15_t70,0.700783476,0.719551282,0.773648649,0.967154695,0.952903012,0.773648649,0.746506328,0.719551282,-1,0.432770183,0.474358974,0.502857143,0.871466728,0.869557823,0.502857143,0.4597348,0.474358974,-1
adbt3_45_5_t70,0.197624246,0.206196581,0.219594595,0.984804258,0.96285292,0.219594595,0.196200958,0.206196581,-1,0.107212428,0.118589744,0.137142857,0.95984941,0.954131519,0.137142857,0.11876349,0.118589744,-1
adbt3_45_10_t70,0.36355568,0.379807692,0.452702703,0.969947953,0.94350755,0.452702703,0.418620019,0.379807692,-1,0.219272068,0.243589744,0.274285714,0.90225469,0.888591218,0.274285714,0.23854982,0.243589744,-1
adbt3_45_15_t70,0.722364672,0.738782051,0.787162162,0.969749322,0.955879202,0.787162162,0.762722544,0.738782051,-1,0.453488154,0.493589744,0.52,0.872799654,0.870736961,0.52,0.478187135,0.493589744,-1
nb5_t70,0.732357564,0.758547009,0.861486486,0.956374644,0.922294616,0.861486486,0.814856071,0.758547009,-1,0.549072509,0.615384615,0.657142857,0.910887723,0.897792208,0.657142857,0.581176347,0.615384615,-1
svm5_t70 BEST,0.996947497,0.996794872,0.996621622,0.998397436,0.997466216,0.996621622,0.996299871,0.996794872,-1,0.942094017,0.951923077,0.954285714,0.969017094,0.967619048,0.954285714,0.944380952,0.951923077,-1
dt5_t70,0.997435897,0.997863248,0.996621622,0.997863248,0.997747748,0.996621622,0.996621622,0.997863248,-1,0.681837607,0.737179487,0.754285714,0.855235043,0.855714286,0.754285714,0.701904762,0.737179487,-1
lr5_t70 PREV. BEST,0.996947497,0.996794872,0.996621622,0.998397436,0.997466216,0.996621622,0.996299871,0.996794872,-1,0.934401709,0.945512821,0.948571429,0.966880342,0.963809524,0.948571429,0.936380952,0.945512821,-1
xgb5_t70,0.920573871,0.932692308,0.962837838,0.978632479,0.975788288,0.962837838,0.949420849,0.932692308,-1,0.691239316,0.75,0.771428571,0.883547009,0.880952381,0.771428571,0.712380952,0.75,-1
knn5_1_t70,0.996947497,0.996794872,0.996621622,0.998397436,0.997466216,0.996621622,0.996299871,0.996794872,-1,0.933547009,0.945512821,0.948571429,0.965811966,0.964761905,0.948571429,0.936761905,0.945512821,-1
knn5_3_t70,0.507105857,0.561965812,0.75,0.830715812,0.843609234,0.75,0.686671737,0.561965812,-1,0.44532967,0.53525641,0.582857143,0.816239316,0.80952381,0.582857143,0.486612245,0.53525641,-1
knn5_5_t70,0.38599125,0.445512821,0.662162162,0.863282898,0.83038036,0.662162162,0.576516986,0.445512821,-1,0.332897147,0.432692308,0.491428571,0.811392121,0.799589436,0.491428571,0.382365199,0.432692308,-1
knn5_7_t70,0.29394715,0.351495726,0.543918919,0.832982931,0.774378955,0.543918919,0.452080558,0.351495726,-1,0.229403744,0.323717949,0.382857143,0.797405704,0.782184265,0.382857143,0.27439093,0.323717949,-1
knn5_9_t70,0.245783241,0.302350427,0.486486486,0.821879641,0.739079222,0.486486486,0.392006736,0.302350427,-1,0.19236769,0.282051282,0.342857143,0.790182811,0.770148148,0.342857143,0.2361886,0.282051282,-1
rf5_15_t70,0.98962149,0.990384615,0.993243243,0.996794872,0.994932432,0.993243243,0.991473616,0.990384615,-1,0.83482906,0.865384615,0.88,0.928418803,0.93047619,0.88,0.849333333,0.865384615,-1
rf5_30_t70,0.996947497,0.996794872,0.996621622,0.998397436,0.997466216,0.996621622,0.996299871,0.996794872,-1,0.920512821,0.935897436,0.942857143,0.963675214,0.963809524,0.942857143,0.926857143,0.935897436,-1
rf5_45_t70,0.997435897,0.997863248,0.996621622,0.997863248,0.997747748,0.996621622,0.996621622,0.997863248,-1,0.929059829,0.942307692,0.948571429,0.966880342,0.966666667,0.948571429,0.93447619,0.942307692,-1
adbt5_15_5_t70,0.481481481,0.503205128,0.547297297,0.969227266,0.963843967,0.547297297,0.52217396,0.503205128,-1,0.330643539,0.358974359,0.382857143,0.925261302,0.917323006,0.382857143,0.352918768,0.358974359,-1
adbt5_15_10_t70,0.691909942,0.698717949,0.685810811,0.989051957,0.982832504,0.685810811,0.6753198,0.698717949,-1,0.415290265,0.442307692,0.44,0.916303419,0.9084,0.44,0.41621274,0.442307692,-1
adbt5_15_15_t70,0.751991171,0.759615385,0.783783784,0.989026887,0.971588776,0.783783784,0.761469161,0.759615385,-1,0.513278388,0.53525641,0.56,0.929938272,0.924613757,0.56,0.535102041,0.53525641,-1
adbt5_30_5_t70,0.721972472,0.730769231,0.75,0.98592817,0.977936412,0.75,0.736442611,0.730769231,-1,0.487806727,0.516025641,0.525714286,0.916346154,0.912285714,0.525714286,0.498832565,0.516025641,-1
adbt5_30_10_t70,0.80233052,0.807692308,0.787162162,0.990779093,0.98225052,0.787162162,0.776824184,0.807692308,-1,0.507898977,0.53525641,0.537142857,0.91795234,0.912768362,0.537142857,0.513130367,0.53525641,-1
adbt5_30_15_t70,0.816368461,0.823717949,0.831081081,0.989195157,0.972120871,0.831081081,0.809635185,0.823717949,-1,0.568933482,0.596153846,0.617142857,0.931060606,0.925662338,0.617142857,0.586708075,0.596153846,-1
adbt5_45_5_t70,0.789568071,0.794871795,0.804054054,0.990811966,0.98231982,0.804054054,0.793838481,0.794871795,-1,0.521374765,0.548076923,0.554285714,0.925438596,0.920401003,0.554285714,0.528774818,0.548076923,-1
adbt5_45_10_t70,0.820840271,0.826923077,0.810810811,0.989697802,0.979126448,0.810810811,0.798470223,0.826923077,-1,0.518362283,0.544871795,0.554285714,0.935042735,0.926095238,0.554285714,0.527975422,0.544871795,-1
adbt5_45_15_t70,0.844499944,0.849358974,0.851351351,0.992772109,0.97967802,0.851351351,0.835181935,0.849358974,-1,0.56412579,0.592948718,0.611428571,0.919094794,0.917662338,0.611428571,0.582898551,0.592948718,-1
nb8_t70,0.947489085,0.954059829,0.966216216,0.98792735,0.976182432,0.966216216,0.953817373,0.954059829,-1,0.753205128,0.794871795,0.817142857,0.940384615,0.928285714,0.817142857,0.767238095,0.794871795,-1
svm8_t70,0.996947497,0.996794872,0.996621622,0.998397436,0.997466216,0.996621622,0.996299871,0.996794872,-1,0.903021978,0.919871795,0.925714286,0.958760684,0.955047619,0.925714286,0.907102041,0.919871795,-1
dt8_t70,0.997435897,0.997863248,0.996621622,0.997863248,0.997747748,0.996621622,0.996621622,0.997863248,-1,0.662606838,0.705128205,0.725714286,0.893086081,0.892312925,0.725714286,0.684952381,0.705128205,-1
lr8_t70,0.996947497,0.996794872,0.996621622,0.998397436,0.997466216,0.996621622,0.996299871,0.996794872,-1,0.925,0.939102564,0.942857143,0.962606838,0.961904762,0.942857143,0.929142857,0.939102564,-1
xgb8_t70,0.418943094,0.487179487,0.722972973,0.870192308,0.840540541,0.722972973,0.633127608,0.487179487,-1,0.334859585,0.445512821,0.497142857,0.796153846,0.798285714,0.497142857,0.390693878,0.445512821,-1
knn8_1_t70,0.996947497,0.996794872,0.996621622,0.998397436,0.997466216,0.996621622,0.996299871,0.996794872,-1,0.894474969,0.913461538,0.92,0.955555556,0.952190476,0.92,0.899482993,0.913461538,-1
knn8_3_t70,0.460887623,0.47542735,0.699324324,0.947599916,0.949020587,0.699324324,0.681062154,0.47542735,-1,0.413181654,0.442307692,0.497142857,0.928604608,0.922236025,0.497142857,0.46331053,0.442307692,-1
knn8_5_t70,0.278686645,0.30982906,0.527027027,0.9335073,0.908833615,0.527027027,0.478708988,0.30982906,-1,0.251377304,0.298076923,0.365714286,0.908491611,0.902377425,0.365714286,0.313122203,0.298076923,-1
knn8_7_t70,0.125186656,0.147970085,0.283783784,0.951681305,0.921126748,0.283783784,0.24474322,0.147970085,-1,0.110685556,0.141025641,0.2,0.946690774,0.937338217,0.2,0.161336535,0.141025641,-1
knn8_9_t70,0.088634539,0.108974359,0.219594595,0.956723059,0.917044599,0.219594595,0.182802186,0.108974359,-1,0.081093229,0.108974359,0.171428571,0.956512821,0.940373333,0.171428571,0.131516418,0.108974359,-1
rf8_15_t70,0.98962149,0.990384615,0.993243243,0.996794872,0.994932432,0.993243243,0.991473616,0.990384615,-1,0.861111111,0.887820513,0.897142857,0.939102564,0.94,0.897142857,0.87047619,0.887820513,-1
rf8_30_t70,0.996947497,0.996794872,0.996621622,0.998397436,0.997466216,0.996621622,0.996299871,0.996794872,-1,0.905555556,0.923076923,0.931428571,0.960470085,0.958095238,0.931428571,0.911619048,0.923076923,-1
rf8_45_t70,0.996947497,0.996794872,0.996621622,0.998397436,0.997466216,0.996621622,0.996299871,0.996794872,-1,0.905555556,0.923076923,0.931428571,0.960470085,0.958095238,0.931428571,0.911619048,0.923076923,-1
adbt8_15_5_t70,0.432552542,0.455128205,0.543918919,0.96874483,0.964659619,0.543918919,0.517909649,0.455128205,-1,0.278486898,0.310897436,0.348571429,0.930592769,0.929685393,0.348571429,0.318026164,0.310897436,-1
adbt8_15_10_t70,0.707769518,0.721153846,0.773648649,0.980530901,0.980479037,0.773648649,0.75935631,0.721153846,-1,0.452123397,0.471153846,0.502857143,0.907153032,0.902947846,0.502857143,0.489702381,0.471153846,-1
adbt8_15_15_t70,0.839153171,0.846153846,0.885135135,0.991575092,0.986679537,0.885135135,0.874066501,0.846153846,-1,0.54957265,0.560897436,0.588571429,0.932371795,0.934,0.588571429,0.583238095,0.560897436,-1
adbt8_30_5_t70,0.652556785,0.673076923,0.736486486,0.972069597,0.971605534,0.736486486,0.714853295,0.673076923,-1,0.400902669,0.435897436,0.462857143,0.886458333,0.8845,0.462857143,0.436423712,0.435897436,-1
adbt8_30_10_t70,0.873870574,0.882478632,0.908783784,0.98735755,0.984515766,0.908783784,0.898101673,0.882478632,-1,0.535769231,0.544871795,0.577142857,0.93616453,0.934761905,0.577142857,0.566628571,0.544871795,-1
adbt8_30_15_t70,0.955128205,0.959401709,0.966216216,0.993055556,0.990146396,0.966216216,0.960135135,0.959401709,-1,0.532220309,0.53525641,0.56,0.930752794,0.927970696,0.56,0.558396588,0.53525641,-1
adbt8_45_5_t70,0.781233647,0.794871795,0.834459459,0.981828317,0.979715041,0.834459459,0.818527073,0.794871795,-1,0.493002137,0.516025641,0.537142857,0.918405619,0.911073961,0.537142857,0.521190476,0.516025641,-1
adbt8_45_10_t70,0.920940171,0.926282051,0.942567568,0.991452991,0.986486486,0.942567568,0.933558559,0.926282051,-1,0.535585141,0.541666667,0.565714286,0.942476383,0.940150376,0.565714286,0.566007326,0.541666667,-1
adbt8_45_15_t70,0.975,0.978632479,0.976351351,0.993589744,0.990990991,0.976351351,0.971283784,0.978632479,-1,0.500309611,0.503205128,0.531428571,0.943648845,0.939533941,0.531428571,0.530075802,0.503205128,-1
nb10_t70,0.961937599,0.966880342,0.972972973,0.990811966,0.981418919,0.972972973,0.963523507,0.966880342,-1,0.826282051,0.858974359,0.874285714,0.951388889,0.942857143,0.874285714,0.836,0.858974359,-1
svm10_t70,0.996947497,0.996794872,0.996621622,0.998397436,0.997466216,0.996621622,0.996299871,0.996794872,-1,0.903021978,0.919871795,0.925714286,0.958760684,0.955047619,0.925714286,0.907102041,0.919871795,-1
dt10_t70,0.997435897,0.997863248,0.996621622,0.997863248,0.997747748,0.996621622,0.996621622,0.997863248,-1,0.666697192,0.695512821,0.72,0.927587844,0.928783069,0.72,0.693931973,0.695512821,-1
