name,train_macro_f1-score,train_macro_recall,train_micro_accuracy,train_macro_precision,train_weighted_precision,train_weighted_recall,train_weighted_f1-score,train_balanced_accuracy,train_macro_ovr_roc_auc_score,test_macro_f1-score,test_macro_recall,test_micro_accuracy,test_macro_precision,test_weighted_precision,test_weighted_recall,test_weighted_f1-score,test_balanced_accuracy,test_macro_ovr_roc_auc_score
maximums,,,,,,,,,,,,0.775757576,,,,,,
,,,,,,,,,,,,,,,,,,
nb3_t70_noise2,0.975644263,0.975641026,0.975641026,0.98028083,0.98028083,0.975641026,0.975644263,0.975641026,-1,0.455555556,0.549886621,0.515151515,0.722222222,0.723232323,0.515151515,0.451919192,0.540509259,-1
svm3_t70_noise2,1,1,1,1,1,1,1,1,-1,0.440315315,0.539414414,0.503030303,0.689752252,0.717676768,0.503030303,0.442222222,0.52662037,-1
dt3_t70_noise2,1,1,1,1,1,1,1,1,-1,0.079993608,0.143176734,0.109090909,0.397315436,0.397171717,0.109090909,0.081154401,0.113425926,-1
lr3_t70_noise2,1,1,1,1,1,1,1,1,-1,0.485135135,0.576576577,0.533333333,0.733333333,0.738585859,0.533333333,0.475959596,0.564814815,-1
xgb3_t70_noise2,1,1,1,1,1,1,1,1,-1,0.297555556,0.401111111,0.363636364,0.588888889,0.614141414,0.363636364,0.307070707,0.376157407,-1
knn3_1_t70_noise2,1,1,1,1,1,1,1,1,-1,0.290222222,0.381111111,0.351515152,0.613888889,0.65,0.351515152,0.311313131,0.355324074,-1
knn3_3_t70_noise2,0.518943596,0.546153846,0.546153846,0.680951998,0.680951998,0.546153846,0.518943596,0.546153846,-1,0.293015873,0.394444444,0.363636364,0.705777778,0.730505051,0.363636364,0.311226551,0.369212963,-1
knn3_5_t70_noise2,0.495652407,0.516666667,0.516666667,0.667054616,0.667054616,0.516666667,0.495652407,0.516666667,-1,0.270104068,0.37196468,0.327272727,0.651103753,0.686767677,0.327272727,0.281529582,0.341435185,-1
knn3_7_t70_noise2,0.482624151,0.502564103,0.502564103,0.628474914,0.628474914,0.502564103,0.482624151,0.502564103,-1,0.317669173,0.426535088,0.375757576,0.644188596,0.671212121,0.375757576,0.327186147,0.394675926,-1
knn3_9_t70_noise2,0.481443507,0.498717949,0.498717949,0.62516618,0.62516618,0.498717949,0.481443507,0.498717949,-1,0.313815789,0.429824561,0.375757576,0.628289474,0.660606061,0.375757576,0.321212121,0.398148148,-1
rf3_15_t70_noise2,1,1,1,1,1,1,1,1,-1,0.18064877,0.263982103,0.224242424,0.558053691,0.556363636,0.224242424,0.178282828,0.238425926,-1
rf3_30_t70_noise2,1,1,1,1,1,1,1,1,-1,0.26964822,0.36036036,0.321212121,0.615709459,0.606818182,0.321212121,0.266541607,0.342592593,-1
rf3_45_t70_noise2,1,1,1,1,1,1,1,1,-1,0.311261261,0.408783784,0.381818182,0.615653153,0.643131313,0.381818182,0.320808081,0.392361111,-1
adbt3_15_5_t70_noise2,0.207995982,0.185897436,0.185897436,0.848555568,0.848555568,0.185897436,0.207995982,0.185897436,-1,0.011716594,0.04109589,0.03030303,0.782345698,0.78330269,0.03030303,0.010633811,0.027777778,-1
adbt3_15_10_t70_noise2,0.477517209,0.424358974,0.424358974,0.876516848,0.876516848,0.424358974,0.477517209,0.424358974,-1,0.026490937,0.068493151,0.048484848,0.686307448,0.698187196,0.048484848,0.023440465,0.055555556,-1
adbt3_15_15_t70_noise2,0.882849016,0.864102564,0.864102564,0.949562781,0.949562781,0.864102564,0.882849016,0.864102564,-1,0.10458613,0.159955257,0.121212121,0.55950783,0.562222222,0.121212121,0.101515152,0.130787037,-1
adbt3_30_5_t70_noise2,0.296056176,0.258974359,0.258974359,0.827521036,0.827521036,0.258974359,0.296056176,0.258974359,-1,0.02866861,0.068027211,0.060606061,0.752093358,0.73080069,0.060606061,0.033910534,0.048611111,-1
adbt3_30_10_t70_noise2,0.592929811,0.532051282,0.532051282,0.906341943,0.906341943,0.532051282,0.592929811,0.532051282,-1,0.043528087,0.097972973,0.066666667,0.653422253,0.65579693,0.066666667,0.042073678,0.072916667,-1
adbt3_30_15_t70_noise2,0.908884902,0.891025641,0.891025641,0.96504297,0.96504297,0.891025641,0.908884902,0.891025641,-1,0.106743368,0.159955257,0.127272727,0.573266219,0.584343434,0.127272727,0.110966811,0.130787037,-1
adbt3_45_5_t70_noise2,0.376986177,0.338461538,0.338461538,0.862151939,0.862151939,0.338461538,0.376986177,0.338461538,-1,0.052478134,0.087301587,0.072727273,0.718986782,0.722517862,0.072727273,0.056132756,0.068287037,-1
adbt3_45_10_t70_noise2,0.626794008,0.564102564,0.564102564,0.913294495,0.913294495,0.564102564,0.626794008,0.564102564,-1,0.074880174,0.136666667,0.090909091,0.62370202,0.634072544,0.090909091,0.068785898,0.100694444,-1
adbt3_45_15_t70_noise2,0.941393992,0.930769231,0.930769231,0.96861125,0.96861125,0.930769231,0.941393992,0.930769231,-1,0.099555556,0.166666667,0.121212121,0.588185185,0.613501684,0.121212121,0.098585859,0.131944444,-1
nb5_t70_noise2,1,1,1,1,1,1,1,1,-1,0.740229885,0.795402299,0.763636364,0.882758621,0.870707071,0.763636364,0.727272727,0.793981481,-1
svm5_t70_noise2,1,1,1,1,1,1,1,1,-1,0.746428571,0.808558559,0.775757576,0.86768018,0.881313131,0.775757576,0.751197691,0.803240741,-1
dt5_t70_noise2,1,1,1,1,1,1,1,1,-1,0.128603604,0.204954955,0.16969697,0.499099099,0.489090909,0.16969697,0.126868687,0.18287037,-1
lr5_t70_noise2,1,1,1,1,1,1,1,1,-1,0.745890411,0.796803653,0.763636364,0.860159817,0.862121212,0.763636364,0.738787879,0.793981481,-1
xgb5_t70_noise2,1,1,1,1,1,1,1,1,-1,0.438095238,0.517006803,0.496969697,0.666553288,0.684545455,0.496969697,0.445858586,0.506944444,-1
knn5_1_t70_noise2,1,1,1,1,1,1,1,1,-1,0.524801587,0.606481481,0.587878788,0.783796296,0.785252525,0.587878788,0.515699856,0.606481481,-1
knn5_3_t70_noise2,0.672730507,0.655128205,0.655128205,0.846492254,0.846492254,0.655128205,0.672730507,0.655128205,-1,0.428587849,0.501149425,0.503030303,0.784504231,0.782544123,0.503030303,0.442005772,0.497685185,-1
knn5_5_t70_noise2,0.687731617,0.658974359,0.658974359,0.855955606,0.855955606,0.658974359,0.687731617,0.658974359,-1,0.459605911,0.527586207,0.509090909,0.796584565,0.783766234,0.509090909,0.453621934,0.524305556,-1
knn5_7_t70_noise2,0.658229071,0.633333333,0.633333333,0.840297017,0.840297017,0.633333333,0.658229071,0.633333333,-1,0.488381834,0.55787037,0.539393939,0.821059554,0.802116621,0.539393939,0.47967292,0.55787037,-1
knn5_9_t70_noise2,0.655064848,0.632051282,0.632051282,0.844254115,0.844254115,0.632051282,0.655064848,0.632051282,-1,0.485565476,0.549768519,0.533333333,0.834262266,0.817679391,0.533333333,0.47963925,0.549768519,-1
rf5_15_t70_noise2,1,1,1,1,1,1,1,1,-1,0.247986577,0.332214765,0.303030303,0.589597315,0.583131313,0.303030303,0.257070707,0.309027778,-1
rf5_30_t70_noise2,1,1,1,1,1,1,1,1,-1,0.385714286,0.484126984,0.460606061,0.688273405,0.695411255,0.460606061,0.392727273,0.47337963,-1
rf5_45_t70_noise2,1,1,1,1,1,1,1,1,-1,0.474227799,0.57545045,0.539393939,0.718468468,0.715151515,0.539393939,0.475670996,0.563657407,-1
adbt5_15_5_t70_noise2,0.080293962,0.083333333,0.083333333,0.970438737,0.970438737,0.083333333,0.080293962,0.083333333,-1,0.032736014,0.048611111,0.042424242,0.947579769,0.948190828,0.042424242,0.028569612,0.048611111,-1
adbt5_15_10_t70_noise2,0.286267144,0.256410256,0.256410256,0.958467815,0.958467815,0.256410256,0.286267144,0.256410256,-1,0.053333333,0.071264368,0.060606061,0.814942529,0.813131313,0.060606061,0.051717172,0.064814815,-1
adbt5_15_15_t70_noise2,0.438387129,0.392307692,0.392307692,0.966438915,0.966438915,0.392307692,0.438387129,0.392307692,-1,0.07429917,0.107709751,0.090909091,0.73930546,0.758722052,0.090909091,0.078246198,0.08912037,-1
adbt5_30_5_t70_noise2,0.08146734,0.079487179,0.079487179,0.964747306,0.964747306,0.079487179,0.08146734,0.079487179,-1,0.029263792,0.041666667,0.036363636,0.945264954,0.946170626,0.036363636,0.025539309,0.041666667,-1
adbt5_30_10_t70_noise2,0.270308525,0.237179487,0.237179487,0.948822569,0.948822569,0.237179487,0.270308525,0.237179487,-1,0.048287671,0.073059361,0.060606061,0.827462492,0.835209235,0.060606061,0.052424242,0.060185185,-1
adbt5_30_15_t70_noise2,0.459547725,0.41025641,0.41025641,0.976740313,0.976740313,0.41025641,0.459547725,0.41025641,-1,0.054718417,0.089041096,0.072727273,0.741515315,0.758148905,0.072727273,0.053872054,0.076388889,-1
adbt5_45_5_t70_noise2,0.080293962,0.083333333,0.083333333,0.970438737,0.970438737,0.083333333,0.080293962,0.083333333,-1,0.02579157,0.041666667,0.036363636,0.940635324,0.942130222,0.036363636,0.022509006,0.041666667,-1
adbt5_45_10_t70_noise2,0.294393277,0.262820513,0.262820513,0.962614132,0.962614132,0.262820513,0.294393277,0.262820513,-1,0.066102962,0.094748858,0.078787879,0.82255029,0.830917281,0.078787879,0.063446858,0.082175926,-1
adbt5_45_15_t70_noise2,0.473297401,0.423076923,0.423076923,0.982928284,0.982928284,0.423076923,0.473297401,0.423076923,-1,0.057708019,0.10472973,0.078787879,0.727552553,0.736498316,0.078787879,0.057348642,0.079861111,-1
nb8_t70_noise2,1,1,1,1,1,1,1,1,-1,0.655251142,0.714611872,0.696969697,0.83630137,0.850909091,0.696969697,0.662424242,0.710648148,-1
svm8_t70_noise2,1,1,1,1,1,1,1,1,-1,0.62837669,0.658564815,0.654545455,0.879606481,0.873191919,0.654545455,0.628953022,0.658564815,-1
dt8_t70_noise2,1,1,1,1,1,1,1,1,-1,0.272406181,0.357615894,0.303030303,0.613686534,0.625252525,0.303030303,0.270505051,0.326388889,-1
lr8_t70_noise2,1,1,1,1,1,1,1,1,-1,0.669667319,0.728310502,0.715151515,0.84760274,0.859090909,0.715151515,0.677056277,0.724537037,-1
xgb8_t70_noise2,0.343469121,0.392307692,0.392307692,0.677770116,0.677770116,0.392307692,0.343469121,0.392307692,-1,0.082666667,0.153333333,0.109090909,0.587161616,0.612571166,0.109090909,0.081212121,0.118055556,-1
knn8_1_t70_noise2,1,1,1,1,1,1,1,1,-1,0.240904139,0.252314815,0.242424242,0.922536376,0.908152958,0.242424242,0.238526441,0.252314815,-1
knn8_3_t70_noise2,0.213347752,0.167948718,0.167948718,0.973605992,0.973605992,0.167948718,0.213347752,0.167948718,-1,0.101979273,0.107638889,0.103030303,0.965342078,0.96369248,0.103030303,0.099101103,0.107638889,-1
