name,train_macro_f1-score,train_macro_recall,train_micro_accuracy,train_macro_precision,train_weighted_precision,train_weighted_recall,train_weighted_f1-score,train_balanced_accuracy,train_macro_ovr_roc_auc_score,test_macro_f1-score,test_macro_recall,test_micro_accuracy,test_macro_precision,test_weighted_precision,test_weighted_recall,test_weighted_f1-score,test_balanced_accuracy,test_macro_ovr_roc_auc_score
maximums,,,,,,,,,,,,0.927272727,,,,,,
,,,,,,,,,,,,,,,,,,
nb3_t70_noise1,0.98965294,0.98974359,0.98974359,0.991239316,0.991239316,0.98974359,0.98965294,0.98974359,-1,0.764658244,0.821995465,0.818181818,0.895124717,0.901515152,0.818181818,0.782712843,0.818287037,-1
svm3_t70_noise1,1,1,1,1,1,1,1,1,-1,0.772458172,0.838963964,0.836363636,0.886824324,0.913636364,0.836363636,0.803867244,0.834490741,-1
dt3_t70_noise1,1,1,1,1,1,1,1,1,-1,0.261368653,0.360927152,0.327272727,0.554304636,0.573939394,0.327272727,0.283636364,0.329861111,-1
lr3_t70_noise1,1,1,1,1,1,1,1,1,-1,0.796171171,0.856981982,0.842424242,0.893018018,0.914141414,0.842424242,0.815151515,0.853009259,-1
xgb3_t70_noise1,1,1,1,1,1,1,1,1,-1,0.64499179,0.71954023,0.721212121,0.836781609,0.855555556,0.721212121,0.663665224,0.717592593,-1
knn3_1_t70_noise1,1,1,1,1,1,1,1,1,-1,0.71463964,0.786036036,0.775757576,0.855855856,0.870707071,0.775757576,0.737373737,0.780092593,-1
knn3_3_t70_noise1,0.853170512,0.858974359,0.858974359,0.887360094,0.887360094,0.858974359,0.853170512,0.858974359,-1,0.63803132,0.705816555,0.696969697,0.823825503,0.840909091,0.696969697,0.667474747,0.695601852,-1
knn3_5_t70_noise1,0.838579995,0.847435897,0.847435897,0.873237179,0.873237179,0.847435897,0.838579995,0.847435897,-1,0.644666667,0.731111111,0.715151515,0.842666667,0.876464646,0.715151515,0.66969697,0.719907407,-1
knn3_7_t70_noise1,0.820710507,0.829487179,0.829487179,0.855278287,0.855278287,0.829487179,0.820710507,0.829487179,-1,0.670246085,0.757270694,0.751515152,0.861856823,0.891414141,0.751515152,0.698989899,0.748842593,-1
knn3_9_t70_noise1,0.804089331,0.814102564,0.814102564,0.856819552,0.856819552,0.814102564,0.804089331,0.814102564,-1,0.675647172,0.765100671,0.751515152,0.869127517,0.901010101,0.751515152,0.702712843,0.756944444,-1
rf3_15_t70_noise1,1,1,1,1,1,1,1,1,-1,0.533137639,0.614155251,0.6,0.77283105,0.778787879,0.6,0.536854257,0.608796296,-1
rf3_30_t70_noise1,1,1,1,1,1,1,1,1,-1,0.639334638,0.712328767,0.690909091,0.81609589,0.821515152,0.690909091,0.640750361,0.708333333,-1
