name,train_macro_f1-score,train_macro_recall,train_micro_accuracy,train_macro_precision,train_weighted_precision,train_weighted_recall,train_weighted_f1-score,train_balanced_accuracy,train_macro_ovr_roc_auc_score,test_macro_f1-score,test_macro_recall,test_micro_accuracy,test_macro_precision,test_weighted_precision,test_weighted_recall,test_weighted_f1-score,test_balanced_accuracy,test_macro_ovr_roc_auc_score
maximums,,,,,,,,,,,,0.9275,,,,,,
,,,,,,,,,,,,,,,,,,
nb3t200_noise-0_thresh-8_maine,0.587063118,0.597519079,0.767416935,0.639745146,0.820967169,0.767416935,0.77736685,0.597519079,-1,0.455737027,0.502112376,0.72,0.604618101,0.785485806,0.72,0.710340735,0.502112376,-1
svm3t200_noise-0_thresh-8_maine,0.993867003,0.99365942,0.997856377,0.994918125,0.998106931,0.997856377,0.997838674,0.99365942,-1,0.82053915,0.823161742,0.915,0.867336625,0.930932418,0.915,0.913387214,0.823161742,-1
dt3t200_noise-0_thresh-8_maine,0.993867003,0.99365942,0.997856377,0.994918125,0.998106931,0.997856377,0.997838674,0.99365942,-1,0.760827788,0.772237446,0.89,0.79563639,0.898844378,0.89,0.88581346,0.772237446,-1
lr3t200_noise-0_thresh-8_maine,0.993867003,0.99365942,0.997856377,0.994918125,0.998106931,0.997856377,0.997838674,0.99365942,-1,0.825270546,0.815915365,0.9125,0.884290057,0.926252614,0.9125,0.908893802,0.815915365,-1
xgb3t200_noise-0_thresh-8_maine,0.993867003,0.99365942,0.997856377,0.994918125,0.998106931,0.997856377,0.997838674,0.99365942,-1,0.810673918,0.800143839,0.905,0.871844695,0.915952041,0.905,0.90039463,0.800143839,-1
nb3_t200_noise-0_thresh-8_maine,0.587063118,0.597519079,0.767416935,0.639745146,0.820967169,0.767416935,0.77736685,0.597519079,-1,0.455737027,0.502112376,0.72,0.604618101,0.785485806,0.72,0.710340735,0.502112376,-1
svm3_t200_noise-0_thresh-8_maine,0.993867003,0.99365942,0.997856377,0.994918125,0.998106931,0.997856377,0.997838674,0.99365942,-1,0.82053915,0.823161742,0.915,0.867336625,0.930932418,0.915,0.913387214,0.823161742,-1
dt3_t200_noise-0_thresh-8_maine,0.993867003,0.99365942,0.997856377,0.994918125,0.998106931,0.997856377,0.997838674,0.99365942,-1,0.760827788,0.772237446,0.89,0.79563639,0.898844378,0.89,0.88581346,0.772237446,-1
lr3_t200_noise-0_thresh-8_maine,0.993867003,0.99365942,0.997856377,0.994918125,0.998106931,0.997856377,0.997838674,0.99365942,-1,0.825270546,0.815915365,0.9125,0.884290057,0.926252614,0.9125,0.908893802,0.815915365,-1
xgb3_t200_noise-0_thresh-8_maine,0.993867003,0.99365942,0.997856377,0.994918125,0.998106931,0.997856377,0.997838674,0.99365942,-1,0.810673918,0.800143839,0.905,0.871844695,0.915952041,0.905,0.90039463,0.800143839,-1
knn3_1t200_noise-0_thresh-8_maine,0.985921325,0.986413043,0.995712755,0.990777339,0.996882003,0.995712755,0.995488185,0.986413043,-1,0.822221046,0.806504486,0.9125,0.888619086,0.932253097,0.9125,0.91209229,0.806504486,-1
knn3_3t200_noise-0_thresh-8_maine,0.855815191,0.845085022,0.931404073,0.898673532,0.939938318,0.931404073,0.929518187,0.845085022,-1,0.783147922,0.778758252,0.8925,0.844106898,0.905207508,0.8925,0.887230268,0.778758252,-1
knn3_5t200_noise-0_thresh-8_maine,0.766535159,0.756117215,0.88960343,0.829346687,0.904343963,0.88960343,0.887062879,0.756117215,-1,0.651307514,0.657341837,0.84,0.776333236,0.868047783,0.84,0.829750403,0.657341837,-1
knn3_7t200_noise-0_thresh-8_maine,0.715216683,0.708546197,0.864951768,0.804938896,0.890685767,0.864951768,0.86260558,0.708546197,-1,0.567415407,0.586172064,0.8125,0.741118196,0.847763831,0.8125,0.79629594,0.586172064,-1
knn3_9t200_noise-0_thresh-8_maine,0.592908656,0.605127751,0.822079314,0.648414693,0.822226375,0.822079314,0.809205054,0.605127751,-1,0.50324842,0.525785591,0.7925,0.661247296,0.821874129,0.7925,0.775308679,0.525785591,-1
rf3_15t200_noise-0_thresh-8_maine,0.993867003,0.99365942,0.997856377,0.994918125,0.998106931,0.997856377,0.997838674,0.99365942,-1,0.811555561,0.807907814,0.9075,0.878519902,0.920200302,0.9075,0.901336033,0.807907814,-1
rf3_30t200_noise-0_thresh-8_maine,0.993867003,0.99365942,0.997856377,0.994918125,0.998106931,0.997856377,0.997838674,0.99365942,-1,0.809005354,0.808684211,0.91,0.865688002,0.925628653,0.91,0.906579611,0.808684211,-1
rf3_45t200_noise-0_thresh-8_maine,0.993867003,0.99365942,0.997856377,0.994918125,0.998106931,0.997856377,0.997838674,0.99365942,-1,0.817988822,0.815930588,0.9125,0.86716303,0.925798077,0.9125,0.909629846,0.815930588,-1
adbt3_15_5t200_noise-0_thresh-8_maine,0.376639562,0.373102765,0.608788853,0.867385717,0.875083788,0.608788853,0.578051923,0.373102765,-1,0.344994355,0.36163006,0.61,0.87343247,0.872796429,0.61,0.568783433,0.36163006,-1
adbt3_15_10t200_noise-0_thresh-8_maine,0.863529258,0.842513672,0.918542337,0.951981707,0.967165285,0.918542337,0.927873758,0.842513672,-1,0.703512862,0.690019694,0.8425,0.829048147,0.898099754,0.8425,0.849563195,0.690019694,-1
adbt3_15_15t200_noise-0_thresh-8_maine,0.993867003,0.99365942,0.997856377,0.994918125,0.998106931,0.997856377,0.997838674,0.99365942,-1,0.811492071,0.806666675,0.905,0.868741617,0.92242298,0.905,0.902281649,0.806666675,-1
adbt3_30_5t200_noise-0_thresh-8_maine,0.383267627,0.38086674,0.612004287,0.883690064,0.880832594,0.612004287,0.580850256,0.38086674,-1,0.357379072,0.368876437,0.615,0.846258557,0.858838095,0.615,0.574222827,0.368876437,-1
adbt3_30_10t200_noise-0_thresh-8_maine,0.878810882,0.856920159,0.928188639,0.967350211,0.975975138,0.928188639,0.937055067,0.856920159,-1,0.703351929,0.698101922,0.85,0.793106658,0.902242898,0.85,0.85768587,0.698101922,-1
adbt3_30_15t200_noise-0_thresh-8_maine,0.983574879,0.984782609,0.994640943,0.988405797,0.996141479,0.994640943,0.994426581,0.984782609,-1,0.808926451,0.799556295,0.9025,0.87802795,0.926330357,0.9025,0.90145282,0.799556295,-1
adbt3_45_5t200_noise-0_thresh-8_maine,0.375522067,0.369997175,0.607717042,0.882667047,0.876545349,0.607717042,0.575900124,0.369997175,-1,0.348401399,0.36163006,0.6125,0.834832371,0.852719674,0.6125,0.570022827,0.36163006,-1
adbt3_45_10t200_noise-0_thresh-8_maine,0.883177612,0.864166536,0.930332262,0.971842915,0.980944225,0.930332262,0.939582457,0.864166536,-1,0.698474669,0.698101922,0.85,0.848673728,0.912088941,0.85,0.851715541,0.698101922,-1
adbt3_45_15t200_noise-0_thresh-8_maine,0.993867003,0.99365942,0.997856377,0.994918125,0.998106931,0.997856377,0.997838674,0.99365942,-1,0.812975512,0.799556295,0.9025,0.884106715,0.926130717,0.9025,0.901295804,0.799556295,-1
nb5_t200_noise-0_thresh-8_maine,0.766241822,0.782819508,0.859592712,0.788169047,0.897011562,0.859592712,0.868554722,0.782819508,-1,0.627165376,0.652854267,0.8,0.767595689,0.880991453,0.8,0.806438099,0.652854267,-1
svm5_t200_noise-0_thresh-8_maine,0.993867003,0.99365942,0.997856377,0.994918125,0.998106931,0.997856377,0.997838674,0.99365942,-1,0.85136432,0.83963078,0.9225,0.914245882,0.94017881,0.9225,0.920546019,0.83963078,-1
