name,train_macro_f1-score,train_macro_f1-score,train_macro_recall,train_macro_recall,train_micro_accuracy,train_micro_accuracy,train_macro_precision,train_macro_precision,train_weighted_precision,train_weighted_precision,train_weighted_recall,train_weighted_recall,train_weighted_f1-score,train_weighted_f1-score,train_balanced_accuracy,train_balanced_accuracy,train_macro_ovr_roc_auc_score,train_macro_ovr_roc_auc_score,test_macro_f1-score,test_macro_f1-score,test_macro_recall,test_macro_recall,test_micro_accuracy,test_micro_accuracy,test_macro_precision,test_macro_precision,test_weighted_precision,test_weighted_precision,test_weighted_recall,test_weighted_recall,test_weighted_f1-score,test_weighted_f1-score,test_balanced_accuracy,test_balanced_accuracy,test_macro_ovr_roc_auc_score,test_macro_ovr_roc_auc_score
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
lr-lbfgs5_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.9175213675213676,0.0,0.9294871794871795,0.0,0.9314285714285713,0.0,0.9465811965811964,0.0,0.9504761904761903,0.0,0.9314285714285713,0.0,0.9215238095238094,0.0,0.9294871794871795,0.0,-1.0,0.0
svm5_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.9132478632478632,0.0,0.9262820512820513,0.0,0.9314285714285713,0.0,0.9465811965811964,0.0,0.9504761904761903,0.0,0.9314285714285713,0.0,0.9196190476190476,0.0,0.9262820512820513,0.0,-1.0,0.0
nb5_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.9004273504273502,0.0,0.9198717948717949,0.0,0.9200000000000002,0.0,0.9508547008547008,0.0,0.9542857142857144,0.0,0.9200000000000002,0.0,0.9024761904761904,0.0,0.9198717948717949,0.0,-1.0,0.0
nb8_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.8895299145299145,0.0,0.9134615384615385,0.0,0.9142857142857144,0.0,0.9497863247863249,0.0,0.9514285714285714,0.0,0.9142857142857144,0.0,0.8916190476190474,0.0,0.9134615384615385,0.0,-1.0,0.0
lr-lbfgs8_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.8807692307692306,0.0,0.903846153846154,0.0,0.9085714285714286,0.0,0.9423076923076923,0.0,0.9428571428571428,0.0,0.9085714285714286,0.0,0.8864761904761904,0.0,0.903846153846154,0.0,-1.0,0.0
svm8_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.8506410256410255,0.0,0.8782051282051281,0.0,0.8857142857142858,0.0,0.9358974358974359,0.0,0.9352380952380951,0.0,0.8857142857142858,0.0,0.8584761904761906,0.0,0.8782051282051281,0.0,-1.0,0.0
knn5_1_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.8369658119658119,0.0,0.8717948717948719,0.0,0.8800000000000001,0.0,0.9316239316239316,0.0,0.9333333333333332,0.0,0.8800000000000001,0.0,0.8474285714285713,0.0,0.8717948717948719,0.0,-1.0,0.0
xgb-portion0.4_5_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.837948717948718,0.010872898468418485,0.8679487179487179,0.006948552368166257,0.8720000000000001,0.006515288143423653,0.9217948717948719,0.007455703556567485,0.9205714285714285,0.008125992002933891,0.8720000000000001,0.006515288143423653,0.8434666666666667,0.009960830316272262,0.8679487179487179,0.006948552368166257,-1.0,0.0
rf8_45_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.8375213675213674,0.03680012023677576,0.8705128205128204,0.03185839394817748,0.8720000000000001,0.030931128234798516,0.9261752136752136,0.020896245137626553,0.9284761904761905,0.020899283369328076,0.8720000000000001,0.030931128234798516,0.8432000000000001,0.03567105955527425,0.8705128205128204,0.03185839394817748,-1.0,0.0
knn5_7_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.9340549721771442,0.0,0.938034188034188,0.0,0.938034188034188,0.0,0.9539314851814853,0.0,0.9539314851814853,0.0,0.938034188034188,0.0,0.9340549721771441,0.0,0.938034188034188,0.0,-1.0,0.0,0.8284188034188034,0.0,0.8621794871794872,0.0,0.8628571428571428,0.0,0.9166666666666666,0.0,0.9142857142857144,0.0,0.8628571428571428,0.0,0.8293333333333333,0.0,0.8621794871794872,0.0,-1.0,0.0
rf8_30_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.8254273504273504,0.020772154308675385,0.8602564102564102,0.016437027442253945,0.8594285714285714,0.019629216042648744,0.9182692307692308,0.009190518447695174,0.917047619047619,0.0103695874879959,0.8594285714285714,0.019629216042648744,0.8281142857142857,0.02195381670751608,0.8602564102564102,0.016437027442253945,-1.0,0.0
knn5_3_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.962417239623122,0.0,0.9636752136752136,0.0,0.9636752136752136,0.0,0.9734612609612612,0.0,0.973461260961261,0.0,0.9636752136752136,0.0,0.962417239623122,0.0,0.9636752136752136,0.0,-1.0,0.0,0.8136752136752137,0.0,0.8525641025641025,0.0,0.8571428571428571,0.0,0.9155982905982905,0.0,0.9180952380952381,0.0,0.8571428571428571,0.0,0.8220952380952381,0.0,0.8525641025641025,0.0,-1.0,0.0
xgb-portion0.2_5_oversampled_t70_trainnoise-1_testnoise-1_thresh-2,0.998708983324368,0.0011785315922650229,0.9987179487179487,0.001170347345096473,0.9987179487179487,0.0011703473450965654,0.9989010989010989,0.0010031548672255332,0.9989010989010989,0.0010031548672256392,0.9987179487179487,0.0011703473450965654,0.998708983324368,0.001178531592264934,0.9987179487179487,0.001170347345096473,-1.0,0.0,0.8191025641025641,0.02470449578345361,0.8544871794871796,0.01835618085035428,0.8560000000000001,0.017332286729260682,0.9145299145299145,0.01068376068376062,0.9161904761904761,0.01202793422887154,0.8560000000000001,0.017332286729260682,0.8237714285714285,0.02388992140362129,0.8544871794871796,0.01835618085035428,-1.0,0.0
