name,train_macro_f1-score,train_macro_f1-score,train_macro_recall,train_macro_recall,train_micro_accuracy,train_micro_accuracy,train_macro_precision,train_macro_precision,train_weighted_precision,train_weighted_precision,train_weighted_recall,train_weighted_recall,train_weighted_f1-score,train_weighted_f1-score,train_balanced_accuracy,train_balanced_accuracy,train_macro_ovr_roc_auc_score,train_macro_ovr_roc_auc_score,test_macro_f1-score,test_macro_f1-score,test_macro_recall,test_macro_recall,test_micro_accuracy,test_micro_accuracy,test_macro_precision,test_macro_precision,test_weighted_precision,test_weighted_precision,test_weighted_recall,test_weighted_recall,test_weighted_f1-score,test_weighted_f1-score,test_balanced_accuracy,test_balanced_accuracy,test_macro_ovr_roc_auc_score,test_macro_ovr_roc_auc_score
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
nb5_same_as_zurich_oversampled_t70_trainnoise-2_testnoise-2_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.7824786324786327,0.0,0.8237179487179486,0.0,0.8342857142857142,0.0,0.905982905982906,0.0,0.9095238095238095,0.0,0.8342857142857142,0.0,0.7979047619047619,0.0,0.8237179487179486,0.0,-1.0,0.0
lr-lbfgs5_same_as_zurich_oversampled_t70_trainnoise-2_testnoise-2_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.7905982905982906,0.0,0.8237179487179486,0.0,0.8342857142857142,0.0,0.8979700854700855,0.0,0.8995238095238095,0.0,0.8342857142857142,0.0,0.8034285714285717,0.0,0.8237179487179486,0.0,-1.0,0.0
svm5_same_as_zurich_oversampled_t70_trainnoise-2_testnoise-2_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.7433760683760684,0.0,0.7884615384615384,0.0,0.8000000000000002,0.0,0.876068376068376,0.0,0.8761904761904761,0.0,0.8000000000000002,0.0,0.7586666666666666,0.0,0.7884615384615384,0.0,-1.0,0.0
nb8_same_as_zurich_oversampled_t70_trainnoise-2_testnoise-2_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.7425213675213674,0.0,0.7884615384615384,0.0,0.7885714285714286,0.0,0.8888888888888888,0.0,0.8923809523809524,0.0,0.7885714285714286,0.0,0.7497142857142857,0.0,0.7884615384615384,0.0,-1.0,0.0
lr-lbfgs8_same_as_zurich_oversampled_t70_trainnoise-2_testnoise-2_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.7286130536130536,0.0,0.7660256410256411,0.0,0.7714285714285715,0.0,0.8839031339031339,0.0,0.8787301587301587,0.0,0.7714285714285715,0.0,0.7361558441558441,0.0,0.7660256410256411,0.0,-1.0,0.0
rf5_200_same_as_zurich_oversampled_t70_trainnoise-2_testnoise-2_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.7072649572649573,0.01241524704814873,0.7606837606837606,0.011256040334244412,0.7657142857142857,0.009897433186107876,0.8659188034188036,0.014813487846006406,0.8674603174603175,0.014144807732516824,0.7657142857142857,0.009897433186107876,0.718920634920635,0.011333466719236442,0.7606837606837606,0.011256040334244412,-1.0,0.0
xgb-portion0.2_5_same_as_zurich_oversampled_t70_trainnoise-2_testnoise-2_thresh-2,0.9975131705900937,0.001651552622784629,0.9975071225071225,0.0016319714013376804,0.9975071225071225,0.0016319714013376804,0.9979395604395606,0.001429715658974065,0.9979395604395606,0.001429715658974065,0.9975071225071225,0.0016319714013376804,0.9975131705900937,0.0016515526227844593,0.9975071225071225,0.0016319714013376804,-1.0,0.0,0.69002849002849,0.032141137104612236,0.7371794871794872,0.027757224480270484,0.7485714285714286,0.02060315014550855,0.8543447293447293,0.02112802029372674,0.8542857142857142,0.019766207219540255,0.7485714285714286,0.02060315014550855,0.7036825396825397,0.027102113670001978,0.7371794871794872,0.027757224480270484,-1.0,0.0
rf5_100_same_as_zurich_oversampled_t70_trainnoise-2_testnoise-2_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.69010989010989,0.007556162874676357,0.7457264957264957,0.004895914204012632,0.7428571428571429,0.009897433186107965,0.851460113960114,0.012891688703059033,0.8527936507936507,0.015039278379626304,0.7428571428571429,0.009897433186107965,0.6956371882086168,0.009708465770591066,0.7457264957264957,0.004895914204012632,-1.0,0.0
xgb-portion0.4_5_same_as_zurich_oversampled_t70_trainnoise-2_testnoise-2_thresh-2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.6712657712657712,0.009621745930197509,0.7254273504273504,0.009791828408025264,0.7333333333333334,0.011895234282663618,0.8433760683760684,0.01458167001566053,0.8447301587301587,0.013863714145814401,0.7333333333333334,0.011895234282663618,0.6826757369614512,0.007098564756926691,0.7254273504273504,0.009791828408025264,-1.0,0.0
