name,train_macro_f1-score,train_macro_recall,train_micro_accuracy,train_macro_precision,train_weighted_precision,train_weighted_recall,train_weighted_f1-score,train_balanced_accuracy,train_macro_ovr_roc_auc_score,test_macro_f1-score,test_macro_recall,test_micro_accuracy,test_macro_precision,test_weighted_precision,test_weighted_recall,test_weighted_f1-score,test_balanced_accuracy,test_macro_ovr_roc_auc_score
maximums,1,1,1,1,1,1,1,1,1,0.925,0.939102564,0.942857143,0.988820667,0.990034423,0.942857143,0.929142857,0.939102564,0.997973557
,,,,,,,,,,,,,,,,,,
knn3_1,1,1,1,1,1,1,1,1,1,0.641239316,0.689102564,0.691428571,0.810363248,0.807142857,0.691428571,0.646666667,0.689102564,0.843555522
knn3_3,0.866867178,0.86965812,0.86965812,0.899648962,0.899648962,0.86965812,0.866867178,0.86965812,0.999466961,0.649145299,0.708333333,0.697142857,0.854700855,0.848571429,0.697142857,0.643238095,0.708333333,0.934301686
knn3_5,0.838594346,0.841880342,0.841880342,0.87956962,0.87956962,0.841880342,0.838594346,0.841880342,0.999142427,0.690811966,0.737179487,0.725714286,0.861324786,0.845904762,0.725714286,0.685142857,0.737179487,0.951321064
knn3_7,0.805622286,0.811965812,0.811965812,0.855175691,0.855175691,0.811965812,0.805622286,0.811965812,0.998674295,0.697649573,0.743589744,0.742857143,0.849038462,0.841619048,0.742857143,0.70247619,0.743589744,0.970202487
knn3_9,0.8100571,0.817307692,0.817307692,0.86210595,0.86210595,0.817307692,0.8100571,0.817307692,0.998383076,0.671153846,0.724358974,0.72,0.844230769,0.832571429,0.72,0.673714286,0.724358974,0.970036172
knn5_1,1,1,1,1,1,1,1,1,1,0.877564103,0.903846154,0.908571429,0.950854701,0.95047619,0.908571429,0.883619048,0.903846154,0.951628033
knn5_3,0.953116694,0.952991453,0.952991453,0.971227275,0.971227275,0.952991453,0.953116694,0.952991453,0.999925903,0.885470085,0.907051282,0.908571429,0.963675214,0.957142857,0.908571429,0.885333333,0.907051282,0.983771204
knn5_5,0.925518329,0.923076923,0.923076923,0.956819378,0.956819378,0.923076923,0.925518329,0.923076923,0.999871335,0.838319088,0.868589744,0.868571429,0.947344322,0.943265306,0.868571429,0.84031746,0.868589744,0.993165225
knn5_7,0.924375148,0.918803419,0.918803419,0.954235348,0.954235348,0.918803419,0.924375148,0.918803419,0.999807577,0.771203156,0.817307692,0.811428571,0.918900544,0.917316017,0.811428571,0.767326007,0.817307692,0.992897972
knn5_9,0.909258163,0.901709402,0.901709402,0.950535576,0.950535576,0.901709402,0.909258163,0.901709402,0.999705335,0.774835634,0.807692308,0.805714286,0.901806527,0.901125541,0.805714286,0.77570696,0.807692308,0.995771215
knn8_1,1,1,1,1,1,1,1,1,1,0.626953602,0.637820513,0.634285714,0.94788699,0.944232804,0.634285714,0.628244898,0.637820513,0.817725609
knn8_3,0.67674223,0.602564103,0.602564103,0.970855802,0.970855802,0.602564103,0.67674223,0.602564103,0.999916138,0.471252866,0.480769231,0.48,0.952083333,0.946952381,0.48,0.473509872,0.480769231,0.896669273
knn8_5,0.577418735,0.503205128,0.503205128,0.971392132,0.971392132,0.503205128,0.577418735,0.503205128,0.99943422,0.389153229,0.400641026,0.394285714,0.945647773,0.940240602,0.394285714,0.387137948,0.400641026,0.949684215
