val_macro_f1-score,val_macro_recall,val_micro_accuracy,val_macro_precision,val_weighted_precision,val_weighted_recall,val_weighted_f1-score,val_balanced_accuracy,test_macro_f1-score,test_macro_recall,test_micro_accuracy,test_macro_precision,test_weighted_precision,test_weighted_recall,test_weighted_f1-score,test_balanced_accuracy,epochs_taken,test_time,val_cross_ent,val_cluster,val_separation,val_avg_separation,val_p_avg_pair_dist,num_ptypes_per_class,rank,ptype_length,prototype_shape,ptype_activation_fn,latent_weight,joint_features_lr,joint_ptypes_lr,warm_ptypes_lr,last_layer_lr,joint_weight_decay,joint_lr_step_size,warm_lr_step_size,cross_entropy_weight,cluster_weight,separation_weight,l1_weight,num_warm_epochs,push_gap,push_start,num_pushes,last_layer_epochs,seq_count_thresh,trainRandomInsertions,trainRandomDeletions,trainMutationRate,oversample,encoding_mode,push_encoding_mode,applying_on_raw_data,augment_test_data,load_existing_train_test,train_batch_size,test_batch_size,num_classes,seq_target_length,addTagAndPrimer,addRevComplements,val_portion_of_train,datetime
0.348214286,0.423913043,0.404255319,0.903726708,0.958966565,0.404255319,0.386904762,0.390804598,0.22028513,0.303797468,0.244680851,0.906881656,0.956019926,0.244680851,0.213824414,0.266666667,71,0.026600361,4.817817211,0.735102892,0.515990764,0.213929899,5724.750488,3,1,21,"(468, 520, 21)",unused,0.9,-1,-1,0.07,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_220330
0.304675994,0.43814433,0.382978723,0.848559344,0.950109111,0.382978723,0.360498987,0.373563218,0.285921995,0.4,0.340425532,0.866041667,0.929255319,0.340425532,0.293388526,0.36,71,0.027420759,4.825310707,0.733435005,0.51444757,0.173105113,235276.3594,3,1,23,"(468, 520, 23)",unused,0.9,-1,-1,0.7,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_185049
0.310225443,0.366666667,0.340425532,0.93976431,0.965731786,0.340425532,0.311208757,0.344827586,0.137419471,0.24691358,0.180851064,0.879437586,0.959940898,0.180851064,0.153875643,0.186666667,71,0.026764393,4.814584255,0.758708239,0.54229182,0.235304289,4693.239746,3,1,17,"(468, 520, 17)",unused,0.9,-1,-1,0.07,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_183146
0.311101921,0.408602151,0.340425532,0.89859959,0.963508105,0.340425532,0.307792326,0.367816092,0.172934473,0.277777778,0.212765957,0.872708567,0.941892328,0.212765957,0.17853246,0.22,71,0.026976347,4.845221043,0.759234786,0.559600353,0.204153523,159536.1719,3,1,15,"(468, 520, 15)",unused,0.9,-1,-1,0.7,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_211243
0.302893067,0.359550562,0.340425532,0.923187533,0.948549899,0.340425532,0.30805833,0.344827586,0.270880231,0.331168831,0.329787234,0.909013605,0.923632219,0.329787234,0.287754137,0.313333333,71,0.025612831,4.817062378,0.691734761,0.499748901,0.192059673,7648.617188,3,1,29,"(468, 520, 29)",unused,0.9,-1,-1,0.07,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_230627
0.280286738,0.365591398,0.329787234,0.902329749,0.967198582,0.329787234,0.312765957,0.32183908,0.194902239,0.296296296,0.234042553,0.888751715,0.958392435,0.234042553,0.205342903,0.24,71,0.027323246,4.827106714,0.748761594,0.531818241,0.189451858,196600.3125,3,1,19,"(468, 520, 19)",unused,0.9,-1,-1,0.7,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_213307
0.244934897,0.340659341,0.319148936,0.889636752,0.935712175,0.319148936,0.272578819,0.310344828,0.211041667,0.33125,0.265957447,0.848511905,0.917173252,0.265957447,0.213297872,0.286666667,71,0.026427984,4.81959796,0.715752125,0.51004234,0.207996026,6136.239746,3,1,23,"(468, 520, 23)",unused,0.9,-1,-1,0.07,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_185641
0.271326165,0.35483871,0.319148936,0.909498208,0.97429078,0.319148936,0.30035461,0.310344828,0.251436608,0.335443038,0.308510638,0.886377336,0.93414387,0.308510638,0.276325566,0.3,71,0.025677919,4.818896055,0.698004067,0.504765064,0.195258677,7105.944824,3,1,27,"(468, 520, 27)",unused,0.9,-1,-1,0.07,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_192807
0.252547471,0.382978723,0.319148936,0.854846336,0.922222222,0.319148936,0.25786662,0.333333333,0.239378935,0.353658537,0.287234043,0.873441734,0.957683215,0.287234043,0.26099824,0.293333333,71,0.026377439,4.824058533,0.73937425,0.524723172,0.22629305,5221.615234,3,1,19,"(468, 520, 19)",unused,0.9,-1,-1,0.07,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_213800
0.277173913,0.358695652,0.319148936,0.902536232,0.95248227,0.319148936,0.292553191,0.32183908,0.172156863,0.305882353,0.212765957,0.855294118,0.971985816,0.212765957,0.19964539,0.213333333,71,0.02583909,4.822654009,0.691228628,0.500495151,0.156336285,288354.0313,3,1,29,"(468, 520, 29)",unused,0.9,-1,-1,0.7,0.05,0,-1,60,1,-9.6,2.4,0.001,1000000,15,70,0,50,2,"[0, 2]","[0, 2]",0.05,TRUE,probability,probability,FALSE,TRUE,TRUE,156,94,156,70,FALSE,FALSE,0.2,20240314_225903
