val_macro_f1-score,val_macro_recall,val_micro_accuracy,val_macro_precision,val_weighted_precision,val_weighted_recall,val_weighted_f1-score,val_balanced_accuracy,test_macro_f1-score,test_macro_recall,test_micro_accuracy,test_macro_precision,test_weighted_precision,test_weighted_recall,test_weighted_f1-score,test_balanced_accuracy,test_macro_ovr_roc_auc_score,test_time,learning_rate,loss_function,batch_size,optimizer,betas,amsgrad,weight_decay,epochs_taken,train_insertions,train_deletions,train_mutation_rate,model_name,oversample,confidence_threshold,seq_count_threshold,seq_len,test_insertions,test_deletions,test_mutation_rate,tag_and_primer,reverse_complements,k_folds,k_iters,encoding_mode,test_split,load_existing_train_test,layer1_input_channels,layer1_output_channels,layer1_conv_kernel,layer1_stride,layer1_padding,layer1_dropout,layer1_pool_kernel,layer2_input_channels,layer2_output_channels,layer2_conv_kernel,layer2_stride,layer2_padding,layer2_dropout,layer2_pool_kernel,datetime,trials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.985049494,1,1,1,1,1,0.932478632,0.945512821,0.948571429,0.965811966,0.967619048,0.948571429,0.936761905,0.945512821,0.99823144,0.023268223,0.005,CrossEntropyLoss,64,Adam,"(0.9, 0.999)",FALSE,0,15,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,612,6,1,0,0.2,0,612,512,6,1,0,0.1,3,20240103_210217,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.982916145,1,1,1,1,1,0.909188034,0.926282051,0.931428571,0.951923077,0.954285714,0.931428571,0.916190476,0.926282051,0.997881562,0.020521402,0.004,CrossEntropyLoss,48,Adam,"(0.9, 0.999)",FALSE,0,15,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,256,7,1,2,0,3,256,128,5,1,0,0.6,2,20240103_204211,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.981869382,1,1,1,1,1,0.892521368,0.913461538,0.914285714,0.947649573,0.946666667,0.914285714,0.896,0.913461538,0.9954865,0.022088766,0.003,CrossEntropyLoss,48,Adam,"(0.9, 0.999)",FALSE,0,14,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,612,5,1,2,0.1,2,612,612,7,1,0,0,2,20240104_194803,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.981863693,1,1,1,1,1,0.902777778,0.923076923,0.925714286,0.958333333,0.96,0.925714286,0.908571429,0.923076923,0.99566836,0.022470236,0.003,CrossEntropyLoss,32,Adam,"(0.9, 0.999)",FALSE,0,14,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,612,7,1,1,0.4,2,612,512,5,2,1,0.6,2,20240104_010513,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.992792793,0.997297297,0.981852315,0.994594595,1,0.995348837,0.996899225,0.997222222,0.915598291,0.929487179,0.931428571,0.955128205,0.957142857,0.931428571,0.92,0.929487179,0.997586411,0.01880002,0.004,CrossEntropyLoss,48,Adam,"(0.9, 0.999)",FALSE,0,15,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,128,9,1,1,0.2,3,,,,,,,,20240103_012019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.968313725,0.984156863,0.981852315,0.984156863,1,0.986497175,0.986497175,0.983836735,0.909188034,0.926282051,0.931428571,0.951923077,0.954285714,0.931428571,0.916190476,0.926282051,0.997752513,0.017713547,0.007,CrossEntropyLoss,64,Adam,"(0.9, 0.999)",FALSE,0,17,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,128,7,1,1,0.2,2,,,,,,,,20240103_084854,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.981852315,1,1,1,1,1,0.912179487,0.926282051,0.931428571,0.949786325,0.95047619,0.931428571,0.917714286,0.926282051,0.998820889,0.019491911,0.004,CrossEntropyLoss,32,Adam,"(0.9, 0.999)",FALSE,0,12,"[0, 2]","[0, 2]",0.05,VariableCNN,FALSE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,612,9,1,0,0.1,3,,,,,,,,20240104_150828,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.981852315,1,1,1,1,1,0.904059829,0.919871795,0.92,0.954059829,0.953333333,0.92,0.904190476,0.919871795,0.998304909,0.019277811,0.002,CrossEntropyLoss,32,Adam,"(0.9, 0.999)",FALSE,0,17,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,128,8,1,2,0.1,2,,,,,,,,20240104_155455,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.981852315,1,1,1,1,1,0.925641026,0.939102564,0.942857143,0.96474359,0.962857143,0.942857143,0.928380952,0.939102564,0.997402422,0.018400908,0.006,CrossEntropyLoss,48,Adam,"(0.9, 0.999)",FALSE,0,13,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,256,8,1,2,0,2,,,,,,,,20240104_161526,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.981846626,1,1,1,1,1,0.924145299,0.942307692,0.942857143,0.967948718,0.968571429,0.942857143,0.927619048,0.942307692,0.999244449,0.017704487,0.005,CrossEntropyLoss,64,Adam,"(0.9, 0.999)",FALSE,0,14,"[0, 2]","[0, 2]",0.05,VariableCNN,TRUE,,2,60,"[1, 1]","[1, 1]",0.02,FALSE,FALSE,5,5,probability,0.3,TRUE,4,612,6,1,2,0.5,3,,,,,,,,20240104_120227,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
