val_macro_f1-score,val_macro_recall,val_micro_accuracy,val_macro_precision,val_weighted_precision,val_weighted_recall,val_weighted_f1-score,val_balanced_accuracy,test_macro_f1-score,test_macro_recall,test_micro_accuracy,test_macro_precision,test_weighted_precision,test_weighted_recall,test_weighted_f1-score,test_balanced_accuracy,test_macro_ovr_roc_auc_score,learning_rate,loss_function,batch_size,optimizer,betas,amsgrad,weight_decay,epochs_taken,train_insertions,train_deletions,train_mutation_rate,model_name,confidence_threshold,seq_count_threshold,seq_len,test_insertions,test_deletions,test_mutation_rate,tag_and_primer,reverse_complements,k_folds,k_iters,encoding_mode,test_split,load_existing_train_test,datetime,trials,layer1_input_channels,layer1_output_channels,layer1_conv_kernel,layer1_stride,layer1_padding,layer1_dropout,layer1_pool_kernel,layer2_input_channels,layer2_output_channels,layer2_conv_kernel,layer2_stride,layer2_padding,layer2_dropout,layer2_pool_kernel,layer3_input_channels,layer3_output_channels,layer3_conv_kernel,layer3_stride,layer3_padding,layer3_dropout,layer3_pool_kernel,layer4_input_channels,layer4_output_channels,layer4_conv_kernel,layer4_stride,layer4_padding,layer4_dropout,layer4_pool_kernel,layer5_input_channels,layer5_output_channels,layer5_conv_kernel,layer5_stride,layer5_padding,layer5_dropout,layer5_pool_kernel,layer6_input_channels,layer6_output_channels,layer6_conv_kernel,layer6_stride,layer6_padding,layer6_dropout,layer6_pool_kernel,test_time,oversample
1.0,1.0,0.9807998634656958,1.0,1.0,1.0,1.0,1.0,0.9121794871794872,0.9326923076923076,0.9371428571428572,0.965811965811966,0.9647619047619046,0.9371428571428572,0.9177142857142858,0.9326923076923076,0.9974562981589092,0.007,CrossEntropyLoss,32.0,Adam,"(0.9, 0.999)",False,0.0,18.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20240101_064315,1.0,4.0,64.0,7.0,1.0,0.0,0.2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0185678005218505,False
1.0,1.0,0.9786437592445102,1.0,1.0,1.0,1.0,1.0,0.9252136752136751,0.9423076923076924,0.9428571428571428,0.9700854700854702,0.9704761904761904,0.9428571428571428,0.9285714285714286,0.9423076923076924,0.9990600334929616,0.007,CrossEntropyLoss,64.0,Adam,"(0.9, 0.999)",False,0.0,14.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20231231_233045,1.0,4.0,256.0,5.0,1.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0177509784698486,False
1.0,1.0,0.97760268517465,1.0,1.0,1.0,1.0,1.0,0.9134615384615384,0.9326923076923076,0.9371428571428572,0.9615384615384616,0.9628571428571427,0.9371428571428572,0.92,0.9326923076923076,0.9965357102092202,0.002,CrossEntropyLoss,64.0,Adam,"(0.9, 0.999)",False,0.0,20.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20240101_053513,1.0,4.0,256.0,9.0,1.0,1.0,0.2,0.0,256.0,128.0,11.0,2.0,1.0,0.4,0.0,128.0,128.0,11.0,1.0,1.0,0.6,0.0,,,,,,,,,,,,,,,,,,,,,,0.0209708213806152,False
1.0,1.0,0.9775856183866196,1.0,1.0,1.0,1.0,1.0,0.9175213675213676,0.935897435897436,0.9371428571428572,0.967948717948718,0.9666666666666666,0.9371428571428572,0.9205714285714284,0.935897435897436,0.9978628219608884,0.007,CrossEntropyLoss,32.0,Adam,"(0.9, 0.999)",False,0.0,14.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20240101_110340,1.0,4.0,256.0,5.0,1.0,0.0,0.2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0186142921447753,True
1.0,1.0,0.9775742405279326,1.0,1.0,1.0,1.0,1.0,0.944871794871795,0.9583333333333334,0.9542857142857144,0.9791666666666666,0.9814285714285714,0.9542857142857144,0.9432380952380952,0.9583333333333334,0.9942528735632185,0.002,CrossEntropyLoss,16.0,Adam,"(0.9, 0.999)",False,0.0,14.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20240101_035108,1.0,4.0,256.0,5.0,1.0,2.0,0.4,2.0,256.0,256.0,11.0,1.0,2.0,0.6,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0282597541809082,False
1.0,1.0,0.9765104107406986,1.0,1.0,1.0,1.0,1.0,0.9047008547008548,0.9262820512820512,0.9314285714285714,0.9647435897435898,0.9638095238095238,0.9314285714285714,0.9110476190476192,0.9262820512820512,0.9984707975788304,0.001,CrossEntropyLoss,16.0,Adam,"(0.9, 0.999)",False,0.0,15.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20240101_044328,1.0,4.0,256.0,7.0,1.0,1.0,0.4,0.0,256.0,256.0,9.0,1.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0235021114349365,True
1.0,1.0,0.9765047218113552,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.9326923076923076,0.9371428571428572,0.9551282051282052,0.96,0.9371428571428572,0.923809523809524,0.9326923076923076,0.9974573629148076,0.002,CrossEntropyLoss,16.0,Adam,"(0.9, 0.999)",False,0.0,17.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20240101_053020,1.0,4.0,256.0,7.0,1.0,0.0,0.2,0.0,256.0,64.0,9.0,2.0,1.0,0.0,2.0,64.0,256.0,7.0,1.0,1.0,0.6,2.0,,,,,,,,,,,,,,,,,,,,,,0.0265126228332519,True
1.0,1.0,0.9764990328820116,1.0,1.0,1.0,1.0,1.0,0.935897435897436,0.9519230769230768,0.9485714285714286,0.9732905982905982,0.9733333333333334,0.9485714285714286,0.9342857142857144,0.9519230769230768,0.9984331052200296,0.002,CrossEntropyLoss,16.0,Adam,"(0.9, 0.999)",False,0.0,16.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20240101_051903,1.0,4.0,32.0,9.0,1.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0210011005401611,False
1.0,1.0,0.9743713733075434,1.0,1.0,1.0,1.0,1.0,0.9128205128205128,0.935897435897436,0.9314285714285714,0.966346153846154,0.97,0.9314285714285714,0.9108571428571428,0.935897435897436,0.9980282850274876,0.007,CrossEntropyLoss,32.0,Adam,"(0.9, 0.999)",False,0.0,15.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20240101_020621,1.0,4.0,128.0,7.0,1.0,0.0,0.6,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0185372829437255,False
1.0,1.0,0.9743599954488568,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.9326923076923076,0.9314285714285714,0.9668803418803418,0.9676190476190476,0.9314285714285714,0.9171428571428571,0.9326923076923076,0.9980101841772164,0.001,CrossEntropyLoss,32.0,Adam,"(0.9, 0.999)",False,0.0,18.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20240101_000520,1.0,4.0,256.0,7.0,1.0,1.0,0.6,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0185587406158447,True
1.0,1.0,0.9733075435203096,1.0,1.0,1.0,1.0,1.0,0.8899572649572648,0.9134615384615384,0.9142857142857144,0.9551282051282052,0.9571428571428572,0.9142857142857144,0.8933333333333332,0.9134615384615384,0.9980101841772162,0.001,CrossEntropyLoss,16.0,Adam,"(0.9, 0.999)",False,0.0,14.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20231231_232344,1.0,4.0,256.0,5.0,1.0,1.0,0.2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02095627784729,True
1.0,1.0,0.9722550915917624,1.0,1.0,1.0,1.0,1.0,0.8918803418803418,0.9134615384615384,0.92,0.9519230769230768,0.9523809523809524,0.92,0.8996190476190477,0.9134615384615384,0.9948421094773496,0.002,CrossEntropyLoss,16.0,Adam,"(0.9, 0.999)",False,0.0,15.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20231231_212152,1.0,4.0,256.0,9.0,1.0,0.0,0.0,2.0,256.0,256.0,5.0,1.0,1.0,0.4,3.0,256.0,128.0,11.0,2.0,2.0,0.4,0.0,,,,,,,,,,,,,,,,,,,,,,0.025956392288208,False
1.0,1.0,0.9722437137330754,1.0,1.0,1.0,1.0,1.0,0.9027777777777776,0.9262820512820512,0.9257142857142856,0.9551282051282052,0.9514285714285714,0.9257142857142856,0.9047619047619048,0.9262820512820512,0.9950784852867772,0.002,CrossEntropyLoss,16.0,Adam,"(0.9, 0.999)",False,0.0,12.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20240101_021356,1.0,4.0,128.0,3.0,1.0,0.0,0.2,0.0,128.0,256.0,7.0,1.0,0.0,0.6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0233700275421142,True
1.0,1.0,0.9722323358743884,1.0,1.0,1.0,1.0,1.0,0.8884615384615384,0.907051282051282,0.9085714285714286,0.9401709401709402,0.94,0.9085714285714286,0.8916190476190476,0.907051282051282,0.9962196906585984,0.007,CrossEntropyLoss,16.0,Adam,"(0.9, 0.999)",False,0.0,14.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20240101_053909,1.0,4.0,128.0,5.0,1.0,1.0,0.2,3.0,128.0,256.0,3.0,1.0,2.0,0.4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0225307941436767,True
1.0,1.0,0.9722323358743884,1.0,1.0,1.0,1.0,1.0,0.903846153846154,0.9230769230769232,0.92,0.9604700854700854,0.9619047619047618,0.92,0.9038095238095236,0.9230769230769232,0.9979916574245854,0.001,CrossEntropyLoss,16.0,Adam,"(0.9, 0.999)",False,0.0,13.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20240101_012532,1.0,4.0,256.0,9.0,1.0,0.0,0.4,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020939826965332,True
1.0,1.0,0.9722209580157016,1.0,1.0,1.0,1.0,1.0,0.8865384615384616,0.907051282051282,0.9142857142857144,0.9487179487179488,0.9495238095238094,0.9142857142857144,0.893904761904762,0.907051282051282,0.9990600334929616,0.007,CrossEntropyLoss,16.0,Adam,"(0.9, 0.999)",False,0.0,18.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20240101_041326,1.0,4.0,256.0,5.0,2.0,0.0,0.2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0211951732635498,True
1.0,1.0,0.9711798839458414,1.0,1.0,1.0,1.0,1.0,0.9143162393162392,0.935897435897436,0.9371428571428572,0.967948717948718,0.9695238095238096,0.9371428571428572,0.9167619047619048,0.935897435897436,0.9973832559042844,0.007,CrossEntropyLoss,16.0,Adam,"(0.9, 0.999)",False,0.0,13.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20240101_060559,1.0,4.0,128.0,5.0,1.0,1.0,0.0,2.0,128.0,64.0,7.0,2.0,0.0,0.2,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0238480567932128,True
1.0,1.0,0.971174195016498,1.0,1.0,1.0,1.0,1.0,0.8918803418803418,0.9166666666666666,0.92,0.9497863247863249,0.9533333333333333,0.92,0.8967619047619048,0.9166666666666666,0.9950997804047436,0.002,CrossEntropyLoss,16.0,Adam,"(0.9, 0.999)",False,0.0,17.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20231231_203348,1.0,4.0,64.0,11.0,1.0,0.0,0.2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0216865539550781,True
1.0,1.0,0.971174195016498,1.0,1.0,1.0,1.0,1.0,0.8801282051282052,0.907051282051282,0.9142857142857144,0.9497863247863249,0.9504761904761904,0.9142857142857144,0.8891428571428571,0.907051282051282,0.9954671211896646,0.002,CrossEntropyLoss,16.0,Adam,"(0.9, 0.999)",False,0.0,16.0,"[0, 2]","[0, 2]",0.05,VariableCNN,,2.0,60.0,"[1, 1]","[1, 1]",0.02,False,False,5.0,5.0,probability,0.3,True,20240101_082719,1.0,4.0,32.0,5.0,1.0,0.0,0.0,2.0,32.0,128.0,5.0,2.0,0.0,0.4,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023855447769165,False
