val_macro_f1-score,val_macro_recall,val_micro_accuracy,val_macro_precision,val_weighted_precision,val_weighted_recall,val_weighted_f1-score,val_balanced_accuracy,test_macro_f1-score,test_macro_recall,test_micro_accuracy,test_macro_precision,test_weighted_precision,test_weighted_recall,test_weighted_f1-score,test_balanced_accuracy,test_macro_ovr_roc_auc_score,test_time,learning_rate,loss_function,batch_size,optimizer,betas,amsgrad,weight_decay,epochs_taken,train_insertions,train_deletions,train_mutation_rate,model_name,oversample,confidence_threshold,seq_count_threshold,seq_len,test_insertions,test_deletions,test_mutation_rate,tag_and_primer,reverse_complements,k_folds,k_iters,encoding_mode,test_split,load_existing_train_test,layer1_input_channels,layer1_output_channels,layer1_conv_kernel,layer1_stride,layer1_padding,layer1_dropout,layer1_pool_kernel,datetime,trials,layer2_input_channels,layer2_output_channels,layer2_conv_kernel,layer2_stride,layer2_padding,layer2_dropout,layer2_pool_kernel
1.0,1.0,0.9839913528273978,1.0,1.0,1.0,1.0,1.0,0.9348290598290598,0.9455128205128204,0.9485714285714286,0.9615384615384616,0.9628571428571427,0.9485714285714286,0.9390476190476192,0.9455128205128204,0.9974560852077295,0.0181286334991455,0.002,CrossEntropyLoss,64,Adam,"(0.9, 0.999)",False,0.0,18,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,512,8,1,0,0.5,3,20240111_060457,1.0,,,,,,,
0.9833333333333332,0.9916666666666668,0.9839856638980544,0.9916666666666668,1.0,0.9925925925925926,0.9925925925925926,0.9913043478260868,0.925,0.939102564102564,0.9428571428571428,0.9626068376068376,0.9619047619047618,0.9428571428571428,0.9291428571428572,0.939102564102564,0.9985069992793734,0.0198771953582763,0.003,CrossEntropyLoss,32,Adam,"(0.9, 0.999)",False,0.0,17,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,342,9,1,2,0.5,3,20240111_002619,,,,,,,,
1.0,1.0,0.9829275230401638,1.0,1.0,1.0,1.0,1.0,0.9017094017094018,0.9198717948717948,0.92,0.9540598290598288,0.9533333333333334,0.92,0.9047619047619048,0.9198717948717948,0.9937918342592452,0.0258512496948242,0.003,CrossEntropyLoss,10,Adam,"(0.9, 0.999)",False,0.0,15,"[0, 2]","[0, 2]",0.05,VariableCNN,False,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,512,9,1,2,0.0,3,20240112_174439,,,,,,,,
1.0,1.0,0.982916145181477,1.0,1.0,1.0,1.0,1.0,0.9102564102564102,0.9262820512820512,0.92,0.9535256410256412,0.9514285714285714,0.92,0.9028571428571428,0.9262820512820512,0.9983785897180356,0.0250937938690185,0.003,CrossEntropyLoss,16,Adam,"(0.9, 0.999)",False,0.0,15,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,256,5,1,0,0.3,2,20240111_054914,1.0,256.0,612.0,6.0,2.0,1.0,0.8,3.0
1.0,1.0,0.9829161451814769,1.0,1.0,1.0,1.0,1.0,0.912179487179487,0.9326923076923076,0.9371428571428572,0.965811965811966,0.9647619047619046,0.9371428571428572,0.9177142857142856,0.9326923076923076,0.9943080279187516,0.0246751308441162,0.003,CrossEntropyLoss,16,Adam,"(0.9, 0.999)",False,0.0,12,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,64,9,1,2,0.0,2,20240110_200443,1.0,64.0,342.0,7.0,1.0,1.0,0.0,0.0
1.0,1.0,0.9829104562521334,1.0,1.0,1.0,1.0,1.0,0.9258547008547008,0.939102564102564,0.9428571428571428,0.9636752136752136,0.9609523809523808,0.9428571428571428,0.9287619047619048,0.939102564102564,0.9985257389831838,0.0179665088653564,0.002,CrossEntropyLoss,64,Adam,"(0.9, 0.999)",False,0.0,17,"[0, 2]","[0, 2]",0.05,VariableCNN,False,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,256,9,1,0,0.2,3,20240111_221112,,,,,,,,
0.9826086956521738,0.9913043478260868,0.9818693821822734,0.9913043478260868,1.0,0.9925925925925926,0.9925925925925926,0.990909090909091,0.9100427350427348,0.9262820512820512,0.9257142857142856,0.9658119658119656,0.9647619047619048,0.9257142857142856,0.910095238095238,0.9262820512820512,0.9984891113802814,0.0194849967956542,0.005,CrossEntropyLoss,32,Adam,"(0.9, 0.999)",False,0.0,12,"[0, 2]","[0, 2]",0.05,VariableCNN,False,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,342,8,1,1,0.3,3,20240111_154327,1.0,,,,,,,
1.0,1.0,0.9818580043235864,1.0,1.0,1.0,1.0,1.0,0.9064102564102564,0.9262820512820512,0.9257142857142856,0.9604700854700854,0.9609523809523812,0.9257142857142856,0.9074285714285716,0.9262820512820512,0.9984688810182132,0.0339856147766113,0.001,CrossEntropyLoss,10,Adam,"(0.9, 0.999)",False,0.0,15,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,512,6,1,1,0.2,0,20240110_194012,1.0,512.0,342.0,6.0,1.0,0.0,0.6,3.0
1.0,1.0,0.9818580043235864,1.0,1.0,1.0,1.0,1.0,0.9027777777777776,0.9230769230769232,0.9257142857142856,0.9583333333333334,0.96,0.9257142857142856,0.9085714285714286,0.9230769230769232,0.999262763016002,0.0179064273834228,0.004,CrossEntropyLoss,64,Adam,"(0.9, 0.999)",False,0.0,13,"[0, 2]","[0, 2]",0.05,VariableCNN,True,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,256,8,1,1,0.3,3,20240111_124614,,,,,,,,
0.992,0.996,0.9818523153942428,0.996,1.0,0.9966101694915256,0.9966101694915256,0.9959183673469388,0.9025641025641028,0.9230769230769232,0.9257142857142856,0.9583333333333334,0.9580952380952382,0.9257142857142856,0.9072380952380952,0.9230769230769232,0.9969420210600196,0.021080732345581,0.004,CrossEntropyLoss,64,Adam,"(0.9, 0.999)",False,0.0,15,"[0, 2]","[0, 2]",0.05,VariableCNN,False,,2,71,"[1, 1]","[1, 1]",0.02,False,False,5,5,probability,0.3,True,4,612,9,1,1,0.1,2,20240111_164338,1.0,612.0,342.0,7.0,2.0,0.0,0.0,2.0
